Episode,Reward,Length,TotalSteps
0,5.8,7,8
1,7.6,8,16
2,3.6,4,20
3,4.8,6,26
4,5.2,6,32
5,5.8,7,39
6,10.6,11,50
7,3.6,4,54
8,5.8,7,61
9,6.2,7,68
10,3.6,4,72
11,2.8,4,76
12,11.2,12,88
13,4.2,5,93
14,4.8,6,99
15,5.0,5,104
16,3.2,4,108
17,6.0,6,114
18,6.0,6,120
19,3.2,4,124
20,22.6,27,151
21,4.2,5,156
22,6.4,8,164
23,9.2,10,174
24,17.4,21,195
25,8.6,9,204
26,15.8,17,221
27,8.6,9,230
28,8.4,10,240
29,8.8,10,250
30,3.4,5,255
31,5.2,6,261
32,6.6,7,268
33,5.6,6,274
34,10.2,11,285
35,5.2,6,291
36,12.8,14,305
37,6.0,6,311
38,3.6,4,315
39,5.8,7,322
40,7.4,9,331
41,10.6,13,344
42,8.0,8,352
43,3.6,4,356
44,6.6,7,363
45,6.2,7,370
46,10.6,11,381
47,9.4,11,392
48,4.2,5,397
49,9.0,11,408
50,4.4,6,414
51,5.2,6,420
52,4.2,5,425
53,5.8,7,432
54,4.6,5,437
55,6.6,7,444
56,9.6,12,456
57,12.0,14,470
58,7.8,9,479
59,6.4,8,487
60,10.6,11,498
61,9.2,10,508
62,7.0,7,515
63,4.6,5,520
64,14.6,17,537
65,9.6,12,549
66,6.4,8,557
67,4.6,5,562
68,5.2,6,568
69,10.4,12,580
70,8.2,11,591
71,5.4,7,598
72,4.2,5,603
73,7.2,8,611
74,6.6,7,618
75,4.0,4,622
76,3.6,4,626
77,4.6,5,631
78,15.0,17,648
79,7.0,7,655
80,4.6,5,660
81,4.6,5,665
82,7.8,11,676
83,7.2,8,684
84,9.6,10,694
85,3.8,5,699
86,2.6,3,702
87,10.2,11,713
88,4.8,6,719
89,3.6,4,723
90,18.2,21,744
91,8.6,9,753
92,4.0,4,757
93,3.2,4,761
94,8.8,10,771
95,2.6,3,774
96,4.6,5,779
97,5.0,5,784
98,7.8,9,793
99,3.2,4,797
100,4.4,6,803
101,4.8,6,809
102,4.8,6,815
103,14.0,16,831
104,6.8,8,839
105,2.8,4,843
106,4.4,6,849
107,4.6,5,854
108,4.2,5,859
109,4.6,5,864
110,3.6,4,868
111,5.2,6,874
112,2.8,4,878
113,3.6,4,882
114,6.2,7,889
115,12.4,16,905
116,10.2,11,916
117,8.8,10,926
118,5.0,5,931
119,6.6,7,938
120,7.0,7,945
121,4.6,5,950
122,11.6,12,962
123,12.2,13,975
124,7.6,8,983
125,16.4,18,1001
126,7.2,8,1009
127,5.4,7,1016
128,6.0,6,1022
129,5.2,6,1028
130,13.4,15,1043
131,15.0,17,1060
132,4.2,5,1065
133,5.2,6,1071
134,7.2,8,1079
135,12.8,14,1093
136,7.6,8,1101
137,9.8,11,1112
138,6.0,8,1120
139,4.6,5,1125
140,5.8,7,1132
141,5.6,6,1138
142,5.6,6,1144
143,5.6,6,1150
144,4.2,5,1155
145,6.2,7,1162
146,13.8,17,1179
147,10.8,12,1191
148,2.6,3,1194
149,5.6,6,1200
150,4.0,4,1204
151,9.2,10,1214
152,7.8,9,1223
153,3.6,4,1227
154,5.8,7,1234
155,5.6,6,1240
156,4.0,4,1244
157,9.0,11,1255
158,6.6,7,1262
159,14.6,17,1279
160,9.4,11,1290
161,7.8,9,1299
162,5.6,6,1305
163,5.0,5,1310
164,3.6,4,1314
165,8.8,10,1324
166,8.2,9,1333
167,3.6,4,1337
168,5.4,7,1344
169,3.6,4,1348
170,5.8,7,1355
171,8.2,9,1364
172,4.0,4,1368
173,4.6,5,1373
174,5.6,6,1379
175,10.0,12,1391
176,3.0,3,1394
177,4.6,5,1399
178,7.6,8,1407
179,6.6,7,1414
180,4.2,5,1419
181,4.2,5,1424
182,8.8,10,1434
183,5.0,5,1439
184,6.0,6,1445
185,11.0,13,1458
186,9.8,11,1469
187,3.2,4,1473
188,5.2,6,1479
189,5.0,5,1484
190,5.6,6,1490
191,22.8,26,1516
192,4.2,5,1521
193,10.0,12,1533
194,3.6,4,1537
195,14.6,17,1554
196,3.2,4,1558
197,3.4,5,1563
198,6.2,7,1570
199,28.6,33,1603
200,20.0,22,1625
201,13.2,14,1639
202,8.6,11,1650
203,7.0,7,1657
204,9.8,11,1668
205,3.2,4,1672
206,8.2,9,1681
207,7.2,8,1689
208,3.6,4,1693
209,4.6,5,1698
210,12.2,13,1711
211,3.6,4,1715
212,4.2,5,1720
213,4.6,5,1725
214,7.2,8,1733
215,6.0,6,1739
216,6.2,7,1746
217,4.6,5,1751
218,7.8,9,1760
219,7.0,7,1767
220,13.2,16,1783
221,5.6,6,1789
222,4.0,4,1793
223,10.2,11,1804
224,5.4,7,1811
225,3.0,3,1814
226,5.6,6,1820
227,4.6,5,1825
228,3.2,4,1829
229,11.2,12,1841
230,4.6,5,1846
231,2.6,3,1849
232,3.6,4,1853
233,9.6,10,1863
234,4.0,4,1867
235,5.0,5,1872
236,10.2,11,1883
237,6.2,7,1890
238,5.6,6,1896
239,3.6,4,1900
240,5.2,6,1906
241,5.0,5,1911
242,6.0,8,1919
243,5.8,7,1926
244,8.8,10,1936
245,4.6,5,1941
246,11.2,12,1953
247,3.0,3,1956
248,6.4,8,1964
249,3.0,3,1967
250,3.2,4,1971
251,4.8,6,1977
252,14.0,16,1993
253,4.0,4,1997
254,6.2,7,2004
255,4.2,5,2009
256,8.2,11,2020
257,4.0,4,2024
258,4.2,5,2029
259,13.6,16,2045
260,10.2,11,2056
261,5.0,5,2061
262,19.6,22,2083
263,3.6,4,2087
264,5.0,5,2092
265,8.4,10,2102
266,3.2,4,2106
267,5.6,6,2112
268,4.2,5,2117
269,7.4,9,2126
270,8.4,10,2136
271,6.6,7,2143
272,4.2,5,2148
273,11.8,13,2161
274,6.0,6,2167
275,14.2,15,2182
276,11.2,12,2194
277,4.8,6,2200
278,4.0,6,2206
279,10.6,11,2217
280,3.6,4,2221
281,7.2,8,2229
282,11.2,12,2241
283,7.0,7,2248
284,4.8,6,2254
285,9.6,12,2266
286,5.8,7,2273
287,16.6,19,2292
288,5.2,6,2298
289,8.8,10,2308
290,3.6,4,2312
291,9.8,11,2323
292,7.6,8,2331
293,4.0,4,2335
294,3.6,4,2339
295,5.0,5,2344
296,20.6,23,2367
297,12.2,15,2382
298,6.8,8,2390
299,8.8,10,2400
300,4.0,4,2404
301,3.6,4,2408
302,3.8,5,2413
303,5.6,6,2419
304,4.0,4,2423
305,5.8,7,2430
306,6.6,7,2437
307,6.4,8,2445
308,3.2,4,2449
309,3.6,4,2453
310,7.0,7,2460
311,25.0,29,2489
312,16.8,18,2507
313,7.6,10,2517
314,5.6,6,2523
315,5.2,6,2529
316,9.0,11,2540
317,5.0,5,2545
318,15.8,17,2562
319,3.6,4,2566
320,34.8,40,2606
321,10.2,11,2617
322,4.6,5,2622
323,6.0,6,2628
324,6.8,8,2636
325,8.2,9,2645
326,14.4,16,2661
327,5.0,5,2666
328,8.0,10,2676
329,6.6,7,2683
330,24.2,27,2710
331,3.8,5,2715
332,6.2,7,2722
333,3.8,5,2727
334,4.0,6,2733
335,8.2,9,2742
336,5.2,6,2748
337,5.8,7,2755
338,22.8,26,2781
339,6.0,8,2789
340,6.8,8,2797
341,6.2,7,2804
342,10.6,11,2815
343,5.2,6,2821
344,6.6,7,2828
345,3.2,4,2832
346,5.0,5,2837
347,6.8,8,2845
348,5.2,6,2851
349,15.4,17,2868
350,12.0,12,2880
351,6.0,6,2886
352,5.0,5,2891
353,4.6,5,2896
354,17.2,20,2916
355,4.8,6,2922
356,21.0,23,2945
357,10.0,12,2957
358,9.2,10,2967
359,18.6,21,2988
360,6.2,7,2995
361,3.6,4,2999
362,3.6,4,3003
363,5.2,6,3009
364,15.8,17,3026
365,5.6,6,3032
366,3.2,4,3036
367,4.8,6,3042
368,16.0,18,3060
369,4.0,4,3064
370,7.0,7,3071
371,7.0,7,3078
372,21.6,24,3102
373,14.6,17,3119
374,6.4,8,3127
375,5.2,6,3133
376,4.2,5,3138
377,11.0,13,3151
378,21.4,25,3176
379,4.0,4,3180
380,19.6,22,3202
381,4.4,6,3208
382,4.6,5,3213
383,5.0,5,3218
384,5.6,6,3224
385,5.8,7,3231
386,10.2,11,3242
387,16.8,18,3260
388,4.6,5,3265
389,11.2,12,3277
390,3.0,3,3280
391,7.6,8,3288
392,4.6,5,3293
393,10.0,10,3303
394,10.2,11,3314
395,5.6,6,3320
396,9.8,11,3331
397,6.8,8,3339
398,2.6,3,3342
399,11.8,15,3357
400,5.2,6,3363
401,4.2,5,3368
402,4.8,6,3374
403,5.6,6,3380
404,10.4,12,3392
405,4.8,6,3398
406,13.8,15,3413
407,5.2,6,3419
408,8.0,10,3429
409,11.8,13,3442
410,5.0,5,3447
411,8.8,10,3457
412,7.0,7,3464
413,8.8,10,3474
414,3.2,4,3478
415,9.0,11,3489
416,7.0,9,3498
417,12.4,16,3514
418,32.2,37,3551
419,8.8,10,3561
420,5.2,6,3567
421,6.6,7,3574
422,5.0,5,3579
423,4.0,4,3583
424,15.2,16,3599
425,10.8,12,3611
426,12.0,14,3625
427,5.2,6,3631
