Episode,Reward,Length,TotalSteps
0,22.753625,200,201
1,3.343933,200,401
2,38.518392,200,601
3,21.097833,200,801
4,21.906642,200,1001
5,16.862946,200,1201
6,1.427841,200,1401
7,37.658656,200,1601
8,41.94722,200,1801
9,37.2298,200,2001
10,39.551911,200,2201
11,41.302948,200,2401
12,16.382642,200,2601
13,42.939268,200,2801
14,26.389345,200,3001
15,17.063125,200,3201
16,51.38186,200,3401
17,41.298752,200,3601
18,35.092753,200,3801
19,31.421426,200,4001
20,31.743741,200,4201
21,44.544637,200,4401
22,38.042697,200,4601
23,37.201716,200,4801
24,46.305123,200,5001
25,41.169108,200,5201
26,42.329214,200,5401
27,46.911645,200,5601
28,50.469341,200,5801
29,43.529655,200,6001
30,35.558464,200,6201
31,49.453061,200,6401
32,47.626457,200,6601
33,45.154158,200,6801
34,46.528586,200,7001
35,48.573204,200,7201
36,43.684954,200,7401
37,49.567767,200,7601
38,48.732759,200,7801
39,46.067884,200,8001
40,45.474121,200,8201
41,47.896799,200,8401
42,47.754536,200,8601
43,45.399423,200,8801
44,49.903229,200,9001
45,47.943276,200,9201
46,48.168601,200,9401
47,50.661419,200,9601
48,46.420145,200,9801
49,50.499011,200,10001
50,50.193239,200,10201
51,44.728901,200,10401
52,54.580952,200,10601
53,59.652255,200,10801
54,49.930071,200,11001
55,53.243538,200,11201
56,56.262798,200,11401
57,52.619415,200,11601
58,53.991856,200,11801
59,60.019743,200,12001
60,50.607732,200,12201
61,55.846535,200,12401
62,52.652695,200,12601
63,52.770559,200,12801
64,59.392434,200,13001
65,54.368774,200,13201
66,58.137905,200,13401
67,58.08497,200,13601
68,56.26613,200,13801
69,58.269759,200,14001
70,52.104541,200,14201
71,59.62889,200,14401
72,64.494799,200,14601
73,57.661104,200,14801
74,60.477936,200,15001
75,50.10473,200,15201
76,52.087899,200,15401
77,57.589976,200,15601
78,54.9144,200,15801
79,57.761362,200,16001
80,61.320873,200,16201
81,59.431233,200,16401
82,60.426156,200,16601
83,64.300973,200,16801
84,65.146728,200,17001
85,59.701984,200,17201
86,64.869588,200,17401
87,59.268206,200,17601
88,55.963202,200,17801
89,56.328571,200,18001
90,63.706481,200,18201
91,60.089838,200,18401
92,65.122701,200,18601
93,60.439904,200,18801
94,58.98856,200,19001
95,65.360611,200,19201
96,60.501302,200,19401
97,62.618304,200,19601
98,63.841013,200,19801
99,60.713636,200,20001
100,63.859158,200,20201
101,58.564611,200,20401
102,63.153081,200,20601
103,64.252857,200,20801
104,63.487509,200,21001
105,61.804695,200,21201
106,62.691036,200,21401
107,62.788366,200,21601
108,61.261105,200,21801
109,58.196162,200,22001
110,63.436737,200,22201
111,61.605683,200,22401
112,59.098053,200,22601
113,64.032512,200,22801
114,63.848666,200,23001
115,64.233401,200,23201
116,63.77656,200,23401
117,66.031982,200,23601
118,62.596929,200,23801
119,63.460292,200,24001
120,63.655787,200,24201
121,63.411904,200,24401
122,65.383175,200,24601
123,60.258983,200,24801
124,64.56584,200,25001
125,60.703085,200,25201
126,62.745076,200,25401
127,61.161452,200,25601
128,56.09711,200,25801
129,60.936624,200,26001
130,58.625209,200,26201
131,64.956383,200,26401
132,61.555036,200,26601
133,59.759745,200,26801
134,62.18545,200,27001
135,64.672561,200,27201
136,62.392975,200,27401
137,60.792477,200,27601
138,61.770318,200,27801
139,63.349048,200,28001
140,64.224165,200,28201
141,63.332332,200,28401
142,58.003216,200,28601
143,64.249467,200,28801
144,61.161353,200,29001
145,60.414829,200,29201
146,62.194752,200,29401
147,65.42807,200,29601
148,65.660371,200,29801
