Episode,Reward,Length,TotalSteps
0,5.0,7,8
1,7.4,9,17
2,6.6,7,24
3,3.6,4,28
4,1.6,2,30
5,2.8,4,34
6,3.0,3,37
7,2.0,2,39
8,9.8,11,50
9,11.0,13,63
10,3.6,4,67
11,3.6,4,71
12,6.6,7,78
13,3.8,5,83
14,2.6,3,86
15,5.0,5,91
16,5.2,6,97
17,5.6,6,103
18,1.8,3,106
19,8.8,10,116
20,11.8,13,129
21,4.2,5,134
22,4.2,5,139
23,7.8,9,148
24,2.6,3,151
25,7.4,9,160
26,1.0,1,161
27,11.8,13,174
28,3.6,4,178
29,8.0,8,186
30,13.0,17,203
31,3.6,4,207
32,11.4,13,220
33,3.6,4,224
34,2.6,3,227
35,7.2,8,235
36,13.6,14,249
37,9.0,9,258
38,3.2,4,262
39,3.2,4,266
40,12.6,15,281
41,2.6,3,284
42,5.8,7,291
43,10.0,12,303
44,6.4,8,311
45,7.0,9,320
46,3.2,4,324
47,11.8,13,337
48,7.6,10,347
49,12.4,14,361
50,2.2,3,364
51,3.6,4,368
52,6.4,8,376
53,1.0,1,377
54,14.4,16,393
55,2.6,3,396
56,1.6,2,398
57,2.0,2,400
58,3.0,3,403
59,2.6,3,406
60,4.4,6,412
61,8.2,9,421
62,9.0,11,432
63,10.2,11,443
64,20.8,24,467
65,2.8,4,471
66,7.2,8,479
67,4.2,5,484
68,4.0,4,488
69,6.0,6,494
70,20.0,22,516
71,3.0,3,519
72,2.0,2,521
73,6.2,7,528
74,6.8,8,536
75,5.8,7,543
76,3.2,4,547
77,2.2,3,550
78,6.4,8,558
79,1.0,1,559
80,4.2,5,564
81,3.4,5,569
82,15.4,17,586
83,5.0,7,593
84,8.0,10,603
85,1.2,2,605
86,12.2,15,620
87,6.0,6,626
88,6.6,7,633
89,1.0,1,634
90,3.0,3,637
91,6.2,7,644
92,6.6,7,651
93,7.2,8,659
94,8.0,8,667
95,7.8,9,676
96,4.8,6,682
97,5.8,7,689
98,21.2,26,715
99,9.4,11,726
100,13.4,15,741
101,4.0,4,745
102,6.0,6,751
103,5.6,6,757
104,0.6,1,758
105,8.8,10,768
106,4.6,5,773
107,1.6,2,775
108,5.0,5,780
109,8.8,10,790
110,3.6,4,794
111,3.6,4,798
112,6.2,7,805
113,1.0,1,806
114,9.8,11,817
115,4.2,5,822
116,5.2,6,828
117,7.6,8,836
118,3.8,5,841
119,2.2,3,844
120,14.6,17,861
121,11.2,12,873
122,6.8,8,881
123,2.2,3,884
124,3.8,5,889
125,8.2,9,898
126,5.0,5,903
127,3.2,4,907
128,5.8,7,914
129,4.6,5,919
130,14.4,16,935
131,1.6,2,937
132,4.0,4,941
133,8.4,10,951
134,3.6,4,955
135,6.8,8,963
136,10.0,12,975
137,1.0,1,976
138,4.0,4,980
139,4.0,4,984
140,4.0,4,988
141,5.2,6,994
142,3.0,3,997
143,0.6,1,998
144,5.8,7,1005
145,6.6,7,1012
146,4.2,5,1017
147,2.2,3,1020
148,6.2,7,1027
149,4.2,5,1032
150,6.0,6,1038
151,3.6,4,1042
152,5.8,7,1049
153,4.6,5,1054
154,7.8,9,1063
155,5.0,5,1068
156,3.8,5,1073
157,3.6,4,1077
158,5.0,7,1084
159,3.4,5,1089
160,3.2,4,1093
161,8.4,10,1103
162,1.6,2,1105
163,7.8,9,1114
164,18.2,19,1133
165,2.0,2,1135
166,16.6,19,1154
167,3.2,4,1158
168,1.6,2,1160
169,7.2,8,1168
170,6.8,8,1176
171,4.2,5,1181
172,4.6,5,1186
173,3.2,4,1190
174,2.6,3,1193
175,5.2,6,1199
176,5.8,7,1206
177,11.0,13,1219
178,7.8,9,1228
179,3.2,4,1232
180,3.6,4,1236
181,6.0,6,1242
182,6.2,7,1249
183,5.2,6,1255
184,13.0,15,1270
185,2.2,3,1273
186,4.6,5,1278
187,2.6,3,1281
188,7.4,9,1290
189,11.6,14,1304
190,1.0,1,1305
191,4.6,5,1310
192,7.6,8,1318
193,4.2,5,1323
194,5.0,5,1328
195,2.2,3,1331
196,4.8,6,1337
197,4.2,5,1342
198,2.0,2,1344
199,4.4,6,1350
200,3.2,4,1354
201,10.0,10,1364
202,10.8,12,1376
203,3.2,4,1380
204,2.6,3,1383
205,3.8,5,1388
206,5.8,7,1395
207,4.6,5,1400
208,3.6,4,1404
209,6.0,8,1412
210,3.6,4,1416
211,5.6,6,1422
212,3.0,3,1425
213,6.8,8,1433
214,3.6,4,1437
215,5.2,6,1443
216,6.8,8,1451
217,2.6,3,1454
218,3.6,4,1458
219,2.6,3,1461
220,1.0,1,1462
221,11.0,13,1475
222,5.6,6,1481
223,7.6,8,1489
224,3.2,4,1493
225,5.2,6,1499
226,11.2,12,1511
227,3.6,4,1515
228,4.0,4,1519
229,7.4,9,1528
230,3.2,4,1532
231,9.6,10,1542
232,4.2,5,1547
233,4.2,5,1552
234,3.6,4,1556
235,19.8,23,1579
236,3.0,3,1582
237,4.2,5,1587
238,1.6,2,1589
239,3.2,4,1593
240,7.0,9,1602
241,12.8,14,1616
242,1.0,1,1617
243,5.4,7,1624
244,10.8,12,1636
245,3.2,4,1640
246,0.6,1,1641
247,9.2,10,1651
248,5.6,6,1657
249,13.8,17,1674
250,7.6,10,1684
251,2.0,2,1686
252,14.0,16,1702
253,9.2,10,1712
254,4.2,5,1717
255,6.6,7,1724
256,3.6,4,1728
257,8.4,10,1738
258,4.6,5,1743
259,4.0,4,1747
260,4.2,5,1752
261,4.2,5,1757
262,2.0,2,1759
263,4.0,4,1763
264,9.6,12,1775
265,7.4,9,1784
266,5.8,7,1791
267,4.0,4,1795
268,10.8,12,1807
269,3.6,4,1811
270,10.0,12,1823
271,6.0,6,1829
272,6.2,7,1836
273,4.2,5,1841
274,1.0,1,1842
275,1.6,2,1844
276,13.6,16,1860
277,7.4,9,1869
278,7.0,7,1876
279,2.6,3,1879
280,3.6,4,1883
281,3.4,5,1888
282,3.2,4,1892
283,0.6,1,1893
284,0.6,1,1894
285,5.2,6,1900
286,5.8,7,1907
287,10.8,12,1919
288,9.2,10,1929
289,5.8,7,1936
290,2.2,3,1939
291,5.2,6,1945
292,2.2,3,1948
293,12.2,13,1961
294,1.0,1,1962
295,5.6,6,1968
296,1.6,2,1970
297,3.8,5,1975
298,3.0,5,1980
299,3.6,4,1984
300,11.4,13,1997
301,2.6,3,2000
302,1.0,1,2001
303,4.2,5,2006
304,4.0,4,2010
305,5.2,6,2016
306,3.6,4,2020
307,8.2,9,2029
308,9.4,11,2040
309,8.2,9,2049
310,5.6,6,2055
311,11.8,13,2068
312,24.2,27,2095
313,26.6,31,2126
314,4.2,5,2131
315,11.0,13,2144
316,37.8,43,2187
317,1.6,2,2189
318,10.8,12,2201
319,3.2,4,2205
320,9.6,10,2215
321,3.6,4,2219
322,4.0,4,2223
323,3.2,4,2227
324,6.0,6,2233
325,11.6,12,2245
326,4.6,5,2250
327,7.2,8,2258
328,7.4,9,2267
329,7.6,8,2275
330,7.8,9,2284
331,10.8,12,2296
332,1.6,2,2298
333,10.4,12,2310
334,3.2,4,2314
335,12.2,13,2327
336,3.6,4,2331
337,9.6,10,2341
338,4.8,6,2347
339,23.4,25,2372
340,17.2,20,2392
341,10.8,12,2404
342,0.6,1,2405
343,6.2,7,2412
344,4.0,4,2416
345,18.2,19,2435
346,7.4,9,2444
347,2.6,3,2447
348,3.6,4,2451
349,4.0,4,2455
350,2.8,4,2459
351,2.2,3,2462
352,3.2,4,2466
353,2.2,3,2469
354,5.2,6,2475
355,6.6,7,2482
356,5.8,7,2489
357,4.0,4,2493
358,2.2,3,2496
359,1.6,2,2498
360,14.0,16,2514
361,10.6,11,2525
362,8.2,9,2534
363,9.0,9,2543
364,3.6,4,2547
365,5.4,7,2554
366,1.6,2,2556
367,9.4,11,2567
368,6.2,7,2574
369,4.2,5,2579
370,11.6,14,2593
371,6.8,8,2601
372,11.2,12,2613
373,15.0,17,2630
374,2.6,3,2633
375,6.2,7,2640
376,7.6,8,2648
377,17.2,18,2666
378,4.0,4,2670
379,2.0,2,2672
380,4.2,5,2677
381,6.6,7,2684
382,2.6,3,2687
383,4.6,5,2692
384,6.8,8,2700
385,1.2,2,2702
386,3.0,3,2705
387,27.0,31,2736
388,3.0,3,2739
389,12.2,13,2752
390,15.0,17,2769
391,5.0,5,2774
392,6.6,7,2781
393,5.2,6,2787
394,5.6,6,2793
395,4.0,4,2797
396,3.0,3,2800
397,9.6,10,2810
398,7.8,9,2819
399,3.8,5,2824
400,10.8,12,2836
401,4.0,4,2840
402,6.2,7,2847
403,2.2,3,2850
404,13.8,15,2865
405,4.2,5,2870
406,17.8,19,2889
407,23.0,27,2916
408,11.2,12,2928
409,13.8,15,2943
410,0.6,1,2944
411,6.8,8,2952
412,9.2,12,2964
413,6.6,7,2971
414,4.8,6,2977
415,33.2,36,3013
416,10.2,11,3024
417,14.2,17,3041
418,5.0,5,3046
419,1.6,2,3048
420,5.6,6,3054
421,3.6,4,3058
422,8.2,9,3067
423,14.0,16,3083
424,1.6,2,3085
425,7.6,8,3093
426,6.2,7,3100
427,5.0,5,3105
428,8.2,9,3114
429,3.0,3,3117
430,24.6,27,3144
431,12.8,14,3158
432,3.6,4,3162
433,6.8,8,3170
434,1.6,2,3172
435,14.8,16,3188
436,5.6,6,3194
437,5.2,6,3200
438,3.6,4,3204
439,15.8,17,3221
440,9.2,10,3231
441,4.0,4,3235
442,8.6,9,3244
443,7.0,7,3251
444,12.8,14,3265
445,7.2,8,3273
446,4.2,5,3278
447,6.6,7,3285
448,8.6,9,3294
449,3.0,3,3297
450,8.0,8,3305
451,4.6,5,3310
452,8.4,10,3320
453,2.6,3,3323
454,27.2,30,3353
455,5.6,6,3359
456,3.8,5,3364
457,28.4,34,3398
458,2.2,3,3401
459,4.0,4,3405
460,6.0,6,3411
461,7.0,7,3418
462,2.0,2,3420
463,3.6,4,3424
464,11.6,12,3436
465,5.8,7,3443
466,16.8,20,3463
467,6.8,8,3471
468,17.4,19,3490
469,7.2,8,3498
470,1.6,2,3500
471,5.0,5,3505
472,9.2,10,3515
473,8.6,9,3524
474,20.4,22,3546
475,7.2,8,3554
476,6.8,8,3562
477,15.2,16,3578
478,8.8,10,3588
479,10.4,12,3600
480,4.2,5,3605
481,13.0,15,3620
482,5.2,6,3626
483,7.2,8,3634
484,3.6,4,3638
485,6.2,7,3645
486,4.8,6,3651
487,5.0,5,3656
488,3.6,4,3660
489,3.6,4,3664
490,15.2,18,3682
491,10.8,12,3694
492,1.0,1,3695
493,5.6,6,3701
494,8.4,10,3711
495,6.8,8,3719
496,6.2,7,3726
497,4.2,5,3731
498,5.4,7,3738
499,2.0,2,3740
500,28.2,33,3773
501,7.0,7,3780
502,3.0,3,3783
503,0.6,1,3784
504,5.6,6,3790
505,13.6,16,3806
506,7.8,9,3815
507,2.0,2,3817
508,11.0,13,3830
509,11.4,13,3843
510,5.2,6,3849
511,7.2,8,3857
512,14.2,17,3874
