Episode,Reward,Length,TotalSteps
0,0.034948,2,3
1,-0.344649,3,6
2,0.058266,3,9
3,-0.36446,2,11
4,-1.786254,12,23
5,-0.342255,3,26
6,-0.318385,5,31
7,-0.721191,5,36
8,-0.36165,2,38
9,-0.693943,8,46
10,-1.818069,11,57
11,-1.809545,11,68
12,-0.380394,1,69
13,-0.291131,6,75
14,-0.696323,6,81
15,-0.325528,4,85
16,-0.197668,11,96
17,-0.726593,4,100
18,-0.346548,3,103
19,-0.67282,7,110
20,-0.582756,12,122
21,-0.340281,3,125
22,-2.863829,19,144
23,-1.379174,13,157
24,0.020015,1,158
25,-1.454517,8,166
26,-0.987268,12,178
27,-1.145307,3,181
28,-0.259569,8,189
29,-0.322277,4,193
30,-2.117493,15,208
31,-0.692123,6,214
32,-1.816355,10,224
33,-0.978979,13,237
34,-0.345683,3,240
35,-0.316174,5,245
36,0.221363,12,257
37,-1.073205,7,264
38,0.037634,2,266
39,0.087127,5,271
40,-0.314281,5,276
41,-0.728466,4,280
42,-1.314829,17,297
43,0.039584,2,299
44,-0.729191,4,303
45,-0.345677,3,306
46,-1.047398,9,315
47,-0.667886,7,322
48,-0.341699,4,326
49,-2.143833,16,342
50,0.071407,4,346
51,-0.326405,4,350
52,-0.221075,10,360
53,-0.333331,4,364
54,-2.199684,11,375
55,-1.009401,11,386
56,-0.324997,4,390
57,-1.131755,4,394
58,-0.354648,3,397
59,-0.291873,6,403
60,-8.523032,47,450
61,0.062979,4,454
62,-1.832664,9,463
63,-0.348401,3,466
64,-1.530626,4,470
65,0.018327,1,471
66,-0.66205,7,478
67,-1.364803,15,493
68,-2.526639,16,509
69,-0.348626,3,512
70,-0.283047,7,519
71,0.034139,2,521
72,0.056774,3,524
73,-0.684143,6,530
74,-0.588156,12,542
75,-0.604307,11,553
76,-0.300657,6,559
77,-0.278376,7,566
78,0.055252,3,569
79,-0.689899,6,575
80,0.117594,7,582
81,-2.06978,18,600
82,-0.729124,4,604
83,-0.379644,1,605
84,-0.323746,4,609
85,-1.08308,7,616
86,-0.324994,4,620
87,-0.313512,5,625
88,-2.157492,14,639
89,-1.053228,8,647
90,-1.034541,9,656
91,0.016461,1,657
92,-0.727303,4,661
93,-1.303414,16,677
94,-0.658082,8,685
95,-1.820082,11,696
96,-1.479468,7,703
97,-1.082728,7,710
98,0.018111,1,711
99,-0.704557,5,716
100,-1.06016,8,724
101,-0.380464,1,725
102,-1.104732,5,730
103,-1.043716,9,739
104,-0.7513,3,742
105,-0.723746,5,747
106,-1.088877,6,753
107,-0.709979,5,758
108,-1.351591,14,772
109,0.039339,2,774
110,-0.703937,5,779
111,-0.342468,3,782
112,-1.515432,5,787
113,-0.740642,3,790
114,-1.398885,11,801
115,0.039092,2,803
116,-1.092915,7,810
117,-0.707524,5,815
118,-0.708035,5,820
119,-0.755768,3,823
120,0.067399,4,827
121,-1.411874,10,837
122,-1.089296,6,843
123,0.058795,3,846
124,-3.595428,22,868
125,-1.745525,19,887
126,-0.726114,4,891
127,-1.04634,9,900
128,0.103802,6,906
129,-1.844475,9,915
130,-1.133004,4,919
131,-2.085585,17,936
132,-1.046798,9,945
133,-0.641548,9,954
134,-1.80404,11,965
135,-0.722534,4,969
136,-1.071686,7,976
137,-0.939072,16,992
138,-0.741223,3,995
139,-0.337434,4,999
140,-1.005515,11,1010
141,-1.107516,6,1016
142,-0.689298,6,1022
143,-1.083407,7,1029
144,-0.963966,13,1042
145,-0.586634,12,1054
146,-0.749828,3,1057
147,-0.332725,4,1061
148,-1.449453,9,1070
149,-0.341589,3,1073
150,-1.036188,9,1082
151,0.106161,6,1088
152,-1.100008,6,1094
153,-0.679485,7,1101
154,-0.979689,12,1113
155,-3.342957,15,1128
156,-1.079162,7,1135
157,0.037788,2,1137
158,-1.09944,7,1144
159,-0.306161,5,1149
160,-0.182003,13,1162
161,-0.559828,14,1176
162,-1.379958,12,1188
163,-0.998273,11,1199
164,-0.349486,3,1202
165,-0.724408,4,1206
166,-0.607051,11,1217
167,-0.311299,5,1222
168,-0.626921,10,1232
169,-1.387938,12,1244
170,-0.290127,7,1251
171,-1.7973,12,1263
172,-1.109538,5,1268
173,-1.050808,8,1276
174,0.020485,1,1277
175,-0.74611,3,1280
176,-1.394067,12,1292
177,-0.232128,9,1301
178,-0.621209,11,1312
179,0.038889,2,1314
180,-0.362691,2,1316
181,-0.657417,8,1324
182,-1.107754,5,1329
183,-0.380073,1,1330
184,0.047869,3,1333
185,-0.67925,8,1341
186,-2.523077,15,1356
187,-0.724709,4,1360
188,-1.838852,9,1369
189,-1.772105,14,1383
190,-2.378911,24,1407
191,-1.093028,6,1413
192,-2.158824,15,1428
193,-0.707464,5,1433
194,-1.053386,8,1441
195,-0.236006,9,1450
196,-1.410749,10,1460
197,0.112612,6,1466
198,-0.727308,4,1470
199,-0.597504,11,1481
200,-0.345608,3,1484
201,0.039239,2,1486
202,-1.057196,8,1494
203,-0.161531,13,1507
204,-2.177885,12,1519
205,-0.713859,5,1524
206,-0.361892,2,1526
207,-0.295721,6,1532
208,-0.648725,8,1540
209,-0.307402,5,1545
210,-3.220027,21,1566
211,-2.220868,10,1576
212,-0.361361,2,1578
213,-1.041453,9,1587
214,-1.850605,8,1595
215,-0.616498,10,1605
216,0.074836,4,1609
217,-0.593396,12,1621
218,0.021378,1,1622
219,0.07006,4,1626
220,-0.694179,6,1632
221,-0.302047,6,1638
222,-2.552764,17,1655
223,-1.503833,5,1660
224,-1.053453,8,1668
225,-1.058798,8,1676
226,-0.36342,2,1678
227,-1.821357,10,1688
228,0.074529,4,1692
229,-0.705781,5,1697
230,-1.096779,6,1703
231,-1.109647,5,1708
232,-0.298213,6,1714
233,-0.97923,12,1726
234,0.053935,3,1729
235,-0.290997,6,1735
236,-1.026623,10,1745
237,-1.045119,9,1754
238,-1.470357,7,1761
239,-0.326136,4,1765
240,-0.743314,3,1768
241,-0.75244,3,1771
242,0.019306,1,1772
243,0.087229,5,1777
244,-0.294759,6,1783
245,0.039939,2,1785
246,-0.289079,6,1791
247,-0.707228,5,1796
248,-0.324255,5,1801
249,-0.717481,5,1806
250,-0.367548,2,1808
251,-0.540365,15,1823
252,-0.960093,13,1836
253,-2.87636,19,1855
254,-1.037985,9,1864
255,-0.344543,3,1867
256,-0.736806,4,1871
257,-0.215329,11,1882
258,0.091035,5,1887
259,-1.401433,12,1899
260,-0.363741,2,1901
261,-0.380689,1,1902
262,0.066479,4,1906
263,-1.079158,7,1913
264,-1.472543,7,1920
265,-0.710287,5,1925
266,-0.693631,6,1931
267,-2.364603,24,1955
268,-1.054893,9,1964
269,-0.636969,9,1973
270,-0.692135,6,1979
271,-0.742691,3,1982
272,-0.3157,5,1987
273,-0.289004,7,1994
274,-0.347058,3,1997
275,-0.327432,4,2001
276,0.100467,6,2007
277,-2.183849,12,2019
278,-0.306123,5,2024
279,0.089112,5,2029
280,0.01951,1,2030
281,-0.31265,5,2035
282,-0.722662,4,2039
283,-0.673926,7,2046
284,-1.412371,10,2056
285,0.019808,1,2057
286,-1.701255,16,2073
287,-0.611861,10,2083
288,0.089269,5,2088
289,-1.888154,7,2095
290,0.064632,4,2099
291,-0.158984,14,2113
292,-0.308461,5,2118
293,-0.285617,7,2125
294,-1.56757,24,2149
295,-0.70657,5,2154
296,0.087626,5,2159
297,-0.385204,1,2160
298,-1.013884,10,2170
299,-1.015729,10,2180
300,-0.247381,9,2189
301,-0.716591,5,2194
302,0.016285,1,2195
303,0.126986,7,2202
304,-0.255281,8,2210
305,-0.97233,13,2223
306,-0.297902,6,2229
307,-0.360874,2,2231
308,-0.63726,10,2241
309,-0.269394,7,2248
310,-0.695005,6,2254
311,-0.364134,2,2256
312,0.084741,5,2261
313,0.143469,8,2269
314,-0.344966,3,2272
315,-1.088551,7,2279
316,-0.221879,10,2289
317,-0.263962,7,2296
318,-1.444876,9,2305
319,-0.256537,8,2313
320,-1.729913,17,2330
321,0.162447,9,2339
322,-0.228445,10,2349
323,-1.372042,13,2362
324,-1.051875,8,2370
325,0.037792,2,2372
326,-1.386971,12,2384
327,-0.19956,11,2395
328,-1.985906,23,2418
329,0.105794,6,2424
330,-0.575829,14,2438
331,0.051645,3,2441
332,-0.991802,12,2453
333,-0.289295,6,2459
334,-0.693768,6,2465
335,0.018999,1,2466
336,-0.708859,5,2471
337,-0.244141,9,2480
338,-0.092662,18,2498
339,-0.82521,21,2519
340,-1.44026,10,2529
341,-0.643155,9,2538
342,0.039141,2,2540
343,-0.946714,14,2554
344,-0.225427,10,2564
345,0.018308,1,2565
346,-0.363937,2,2567
347,0.069398,4,2571
348,-0.691796,6,2577
349,-0.270285,7,2584
350,-0.274384,7,2591
351,0.074587,4,2595
352,-0.69019,6,2601
353,-1.089501,6,2607
354,-0.326419,4,2611
355,-1.868943,8,2619
356,-0.198963,11,2630
357,-0.290141,6,2636
358,0.07698,4,2640
359,-1.457918,12,2652
360,0.034302,2,2654
361,-0.29063,7,2661
