Episode,Reward,Length,TotalSteps
0,4.144878,5,6
1,7.488135,8,14
2,3.773012,5,19
3,5.180652,6,25
4,2.555513,3,28
5,1.998173,2,30
6,10.513662,11,41
7,5.561289,6,47
8,3.937298,4,51
9,6.162497,7,58
10,4.160118,5,63
11,12.491083,13,76
12,2.55221,3,79
13,3.141725,4,83
14,7.147463,8,91
15,5.375164,7,98
16,1.185665,2,100
17,4.139377,5,105
18,10.493413,11,116
19,0.989057,1,117
20,3.537365,4,121
21,2.986763,3,124
22,0.998202,1,125
23,3.991487,4,129
24,3.178139,4,133
25,10.536862,11,144
26,2.147216,3,147
27,7.151797,8,155
28,4.558922,5,160
29,2.912335,3,163
30,5.14868,6,169
31,7.576835,10,179
32,7.900707,8,187
33,1.962971,2,189
34,4.555453,5,194
35,7.294073,9,203
36,4.592039,5,208
37,5.766233,7,215
38,6.961062,9,224
39,5.872719,8,232
40,19.178988,21,253
41,6.175296,7,260
42,4.354595,6,266
43,3.978623,4,270
44,4.913379,7,277
45,3.736593,5,282
46,2.589109,3,285
47,9.759846,11,296
48,7.13057,8,304
49,3.954704,4,308
50,6.744919,8,316
51,11.313573,15,331
52,7.564737,8,339
53,16.245185,19,358
54,2.894705,3,361
55,17.731924,20,381
56,7.776889,9,390
57,4.16998,5,395
58,5.545689,6,401
59,8.314968,10,411
60,3.179253,4,415
61,5.08831,6,421
62,1.932262,2,423
63,3.177763,4,427
64,1.166339,2,429
65,2.893038,3,432
66,8.748307,10,442
67,1.98709,2,444
68,5.785166,7,451
69,3.76501,5,456
70,12.708336,14,470
71,5.164149,6,476
72,6.528243,7,483
73,7.681436,9,492
74,2.175119,3,495
75,2.972306,3,498
76,5.943256,8,506
77,4.155955,5,511
78,7.320585,9,520
79,7.655572,9,529
80,16.256452,18,547
81,15.664686,17,564
82,1.978139,2,566
83,0.994554,1,567
84,3.580313,4,571
85,3.739636,5,576
86,4.657692,6,582
87,15.797134,18,600
88,2.727344,4,604
89,0.996662,1,605
90,6.709262,8,613
91,2.778056,4,617
92,3.115944,4,621
93,16.468841,21,642
94,3.926417,4,646
95,7.546354,8,654
96,15.862148,18,672
97,5.148419,6,678
98,6.767196,8,686
99,2.789597,4,690
100,7.721603,9,699
101,7.141675,8,707
102,2.733186,4,711
103,2.965634,3,714
104,4.922804,5,719
105,4.736178,6,725
106,4.548081,5,730
107,7.303528,9,739
108,13.192487,15,754
109,0.998419,1,755
110,4.97949,5,760
111,3.171675,4,764
112,2.575169,3,767
113,5.151537,6,773
114,0.592213,1,774
115,6.74746,8,782
116,5.151965,6,788
117,11.322501,13,801
118,3.786667,5,806
119,1.769844,3,809
120,7.141603,8,817
121,5.576996,6,823
122,8.116165,9,832
123,6.332889,8,840
124,5.575177,6,846
125,3.959385,4,850
