Episode,Reward,Length,TotalSteps
0,-6.822317,200,201
1,-2.512393,200,401
2,-7.187156,200,601
3,-2.360402,200,801
4,5.160918,200,1001
5,-1.444764,200,1201
6,3.50528,200,1401
7,19.10993,200,1601
8,5.023327,200,1801
9,1.033582,200,2001
10,11.806107,200,2201
11,19.62238,200,2401
12,-14.03391,200,2601
13,8.599213,200,2801
14,20.755178,200,3001
15,8.439297,200,3201
16,9.992411,200,3401
17,5.200514,200,3601
18,0.64886,200,3801
19,0.468619,200,4001
20,-3.198636,200,4201
21,18.218627,200,4401
22,14.757247,200,4601
23,18.976304,200,4801
24,36.681448,200,5001
25,8.083521,200,5201
26,28.471284,200,5401
27,9.952475,200,5601
28,13.935141,200,5801
29,14.441325,200,6001
30,18.434452,200,6201
31,26.776592,200,6401
32,30.094705,200,6601
33,31.016543,200,6801
34,28.249735,200,7001
35,22.767914,200,7201
36,30.204447,200,7401
37,30.286888,200,7601
38,25.321075,200,7801
39,25.395712,200,8001
40,20.579407,200,8201
41,33.432198,200,8401
42,34.119423,200,8601
43,31.344044,200,8801
44,31.187284,200,9001
45,28.164296,200,9201
46,33.938214,200,9401
47,22.298201,200,9601
48,27.594121,200,9801
49,34.896294,200,10001
50,36.112557,200,10201
51,31.498582,200,10401
52,35.820186,200,10601
53,37.279378,200,10801
54,31.858005,200,11001
55,27.865136,200,11201
56,23.388096,200,11401
57,43.990478,200,11601
58,34.143458,200,11801
59,34.092119,200,12001
60,39.099765,200,12201
61,27.875424,200,12401
62,43.07406,200,12601
63,38.09245,200,12801
64,32.245763,200,13001
65,41.418524,200,13201
66,33.137011,200,13401
67,37.365508,200,13601
68,34.326637,200,13801
69,27.873706,200,14001
70,32.23018,200,14201
71,37.446089,200,14401
72,35.367388,200,14601
73,34.862477,200,14801
74,35.837558,200,15001
75,30.35704,200,15201
76,23.364119,200,15401
77,34.107674,200,15601
78,32.357153,200,15801
79,32.40305,200,16001
80,35.752424,200,16201
81,43.410994,200,16401
82,34.851051,200,16601
83,41.065994,200,16801
84,36.059112,200,17001
85,39.776205,200,17201
86,40.945996,200,17401
87,40.358828,200,17601
88,36.659545,200,17801
89,33.409532,200,18001
90,37.901133,200,18201
91,38.04206,200,18401
92,41.708646,200,18601
93,30.847448,200,18801
94,30.067592,200,19001
95,37.609039,200,19201
96,41.933688,200,19401
97,40.395756,200,19601
98,42.883411,200,19801
99,36.840656,200,20001
100,35.498654,200,20201
101,37.602588,200,20401
102,41.836004,200,20601
103,33.240386,200,20801
104,44.413365,200,21001
105,37.105144,200,21201
106,42.221713,200,21401
107,41.983151,200,21601
108,45.923026,200,21801
109,37.049589,200,22001
110,33.158439,200,22201
111,46.367768,200,22401
112,42.007538,200,22601
113,32.841654,200,22801
114,49.836614,200,23001
115,34.958281,200,23201
116,46.826255,200,23401
117,44.001695,200,23601
118,35.037879,200,23801
119,29.988058,200,24001
120,39.9031,200,24201
121,45.894947,200,24401
122,45.805153,200,24601
123,40.743651,200,24801
124,28.589776,200,25001
125,38.079285,200,25201
126,41.028917,200,25401
127,35.842353,200,25601
128,22.293512,200,25801
129,43.303284,200,26001
130,32.658467,200,26201
131,37.29244,200,26401
132,31.703529,200,26601
133,37.745481,200,26801
134,40.528919,200,27001
135,47.098435,200,27201
136,36.996794,200,27401
137,46.356564,200,27601
138,34.090781,200,27801
139,40.165582,200,28001
140,30.847624,200,28201
141,35.543044,200,28401
142,40.502713,200,28601
143,27.749195,200,28801
144,47.307814,200,29001
145,41.950776,200,29201
146,37.823461,200,29401
147,40.22807,200,29601
148,43.766996,200,29801
149,38.473518,200,30001
150,45.238567,200,30201
151,47.836873,200,30401
152,44.414445,200,30601
153,47.228965,200,30801
154,41.288868,200,31001
155,39.04464,200,31201
156,26.179483,200,31401
157,29.285769,200,31601
158,47.597485,200,31801
159,42.343137,200,32001
160,25.744156,200,32201
161,27.729945,200,32401
