Episode,Reward,Length,TotalSteps
0,15.375045,200,201
1,-0.167138,200,401
2,21.039497,200,601
3,18.093858,200,801
4,16.439652,200,1001
5,21.967123,200,1201
6,31.207172,200,1401
7,16.096576,200,1601
8,5.663267,200,1801
9,1.271704,200,2001
10,25.257577,200,2201
11,37.003248,200,2401
12,37.315425,200,2601
13,39.201829,200,2801
14,31.228334,200,3001
15,30.583895,200,3201
16,26.066568,200,3401
17,13.218071,200,3601
18,29.457773,200,3801
19,44.280601,200,4001
20,32.196404,200,4201
21,29.199447,200,4401
22,41.895543,200,4601
23,46.715095,200,4801
24,33.478209,200,5001
25,41.555309,200,5201
26,33.515726,200,5401
27,37.354483,200,5601
28,41.562121,200,5801
29,44.320792,200,6001
30,43.122071,200,6201
31,45.499214,200,6401
32,47.19231,200,6601
33,45.102382,200,6801
34,37.888206,200,7001
35,44.856039,200,7201
36,47.190772,200,7401
37,40.25979,200,7601
38,45.682757,200,7801
39,44.339448,200,8001
40,51.577078,200,8201
41,49.227712,200,8401
42,46.414889,200,8601
43,47.149796,200,8801
44,50.095496,200,9001
45,45.706663,200,9201
46,47.000294,200,9401
47,47.324463,200,9601
48,44.124744,200,9801
49,48.696567,200,10001
50,35.601565,200,10201
51,41.44791,200,10401
52,51.386985,200,10601
53,56.329532,200,10801
54,55.907451,200,11001
55,50.316102,200,11201
56,50.935955,200,11401
57,55.119198,200,11601
58,49.634613,200,11801
59,58.132685,200,12001
60,45.497342,200,12201
61,47.481385,200,12401
62,52.377733,200,12601
63,50.357217,200,12801
64,46.143419,200,13001
65,44.662344,200,13201
66,56.631361,200,13401
67,59.326351,200,13601
68,56.290732,200,13801
69,56.73496,200,14001
70,51.201569,200,14201
71,55.669907,200,14401
72,57.224327,200,14601
73,59.325845,200,14801
74,61.225506,200,15001
75,59.054605,200,15201
76,41.872524,200,15401
77,58.258525,200,15601
78,47.581126,200,15801
79,58.118668,200,16001
80,54.31994,200,16201
81,60.061597,200,16401
82,56.708877,200,16601
83,57.952895,200,16801
84,54.824496,200,17001
85,57.944574,200,17201
86,55.57029,200,17401
87,63.16851,200,17601
88,55.617195,200,17801
89,58.143923,200,18001
90,58.643649,200,18201
91,59.560254,200,18401
92,60.02866,200,18601
93,61.727258,200,18801
94,59.792514,200,19001
95,59.504216,200,19201
96,52.640618,200,19401
97,57.26592,200,19601
98,57.587591,200,19801
99,56.73304,200,20001
100,51.817771,200,20201
101,56.364132,200,20401
102,48.258561,200,20601
103,62.367875,200,20801
104,62.208764,200,21001
105,60.25143,200,21201
106,62.958983,200,21401
107,58.741934,200,21601
108,55.411861,200,21801
109,61.40535,200,22001
110,54.704638,200,22201
111,61.414306,200,22401
112,56.368589,200,22601
113,61.668338,200,22801
114,53.83358,200,23001
115,55.705571,200,23201
116,44.918727,200,23401
117,58.665776,200,23601
118,57.093735,200,23801
119,51.462947,200,24001
120,43.313895,200,24201
121,55.82593,200,24401
122,61.900606,200,24601
123,53.210986,200,24801
124,58.622131,200,25001
125,63.594913,200,25201
126,57.945642,200,25401
127,60.026183,200,25601
128,59.246993,200,25801
129,61.436522,200,26001
130,58.141465,200,26201
131,62.11005,200,26401
132,59.178099,200,26601
133,62.310713,200,26801
134,60.594572,200,27001
135,51.922182,200,27201
136,58.838103,200,27401
137,59.626292,200,27601
138,59.279974,200,27801
139,61.052605,200,28001
140,63.105302,200,28201
141,54.17257,200,28401
142,62.376512,200,28601
143,59.072339,200,28801
144,55.18185,200,29001
145,60.434336,200,29201
146,58.751165,200,29401
147,56.565176,200,29601
148,60.841047,200,29801
149,58.97288,200,30001
150,53.145654,200,30201
151,63.44676,200,30401
152,62.811625,200,30601
153,63.755322,200,30801
154,58.770849,200,31001
155,59.678124,200,31201
156,59.657777,200,31401
157,59.754957,200,31601
158,59.12074,200,31801
159,60.388457,200,32001
160,61.970651,200,32201
161,63.814561,200,32401
162,62.017908,200,32601
163,60.337623,200,32801
164,61.107619,200,33001
165,61.233717,200,33201
166,62.749869,200,33401
167,63.393943,200,33601
168,62.041084,200,33801
