Episode,Reward,Length,TotalSteps
0,20.868493,200,201
1,19.590583,200,401
2,17.751447,200,601
3,27.036443,200,801
4,39.575548,200,1001
5,14.8423,200,1201
6,10.365739,200,1401
7,22.194144,200,1601
8,33.956275,200,1801
9,16.514624,200,2001
10,13.191388,200,2201
11,14.781812,200,2401
12,38.93957,200,2601
13,40.556041,200,2801
14,33.912809,200,3001
15,20.899371,200,3201
16,19.639643,200,3401
17,30.299961,200,3601
18,36.490597,200,3801
19,18.482733,200,4001
20,36.723037,200,4201
21,28.596822,200,4401
22,23.252745,200,4601
23,35.863491,200,4801
24,52.761533,200,5001
25,47.656008,200,5201
26,30.900743,200,5401
27,44.799904,200,5601
28,29.745905,200,5801
29,36.29856,200,6001
30,38.460982,200,6201
31,45.301777,200,6401
32,39.985298,200,6601
33,41.819407,200,6801
34,44.666435,200,7001
35,51.655668,200,7201
36,32.852751,200,7401
37,51.903023,200,7601
38,41.931089,200,7801
39,48.102747,200,8001
40,54.720215,200,8201
41,47.995871,200,8401
42,47.42555,200,8601
43,48.606368,200,8801
44,45.965036,200,9001
45,44.017739,200,9201
46,47.02932,200,9401
47,46.558955,200,9601
48,48.577025,200,9801
49,44.032455,200,10001
50,43.145205,200,10201
51,48.900815,200,10401
52,54.392067,200,10601
53,49.225282,200,10801
54,53.563165,200,11001
55,53.351775,200,11201
56,52.628869,200,11401
57,51.424291,200,11601
58,49.147104,200,11801
59,60.864168,200,12001
60,57.261798,200,12201
61,53.927611,200,12401
62,52.832376,200,12601
63,56.632999,200,12801
64,53.302785,200,13001
65,54.186313,200,13201
66,58.22289,200,13401
67,54.200929,200,13601
68,59.895392,200,13801
69,62.091434,200,14001
70,45.316755,200,14201
71,55.346047,200,14401
72,57.656707,200,14601
73,61.126865,200,14801
74,56.096342,200,15001
75,55.675366,200,15201
76,56.777088,200,15401
77,52.880269,200,15601
78,54.527615,200,15801
79,59.811039,200,16001
80,52.59325,200,16201
81,58.456533,200,16401
82,61.942132,200,16601
83,60.063459,200,16801
84,61.480015,200,17001
85,57.211528,200,17201
86,55.75166,200,17401
87,56.712819,200,17601
88,57.479103,200,17801
89,58.119028,200,18001
90,50.22051,200,18201
91,59.612614,200,18401
92,57.293871,200,18601
93,55.853851,200,18801
94,62.342186,200,19001
95,62.650815,200,19201
96,61.674629,200,19401
97,62.584311,200,19601
98,62.196063,200,19801
99,56.658536,200,20001
100,63.778076,200,20201
101,57.96064,200,20401
102,64.43263,200,20601
103,60.266293,200,20801
104,62.4968,200,21001
105,57.614054,200,21201
106,58.694411,200,21401
107,63.257981,200,21601
108,61.735095,200,21801
109,61.214241,200,22001
110,59.515112,200,22201
111,59.370049,200,22401
112,59.06886,200,22601
113,64.045909,200,22801
114,56.983338,200,23001
115,63.851268,200,23201
116,63.759386,200,23401
117,65.123793,200,23601
118,63.093732,200,23801
119,61.977442,200,24001
120,51.666036,200,24201
121,61.696117,200,24401
122,63.458757,200,24601
123,61.665626,200,24801
124,61.783359,200,25001
125,64.807737,200,25201
126,62.120962,200,25401
127,63.411324,200,25601
128,61.841907,200,25801
129,58.668791,200,26001
130,65.162343,200,26201
131,64.810324,200,26401
132,62.877676,200,26601
133,63.43725,200,26801
134,61.573016,200,27001
135,65.901139,200,27201
136,60.586162,200,27401
137,62.23636,200,27601
138,65.918033,200,27801
139,65.067513,200,28001
140,63.677377,200,28201
141,62.787304,200,28401
142,63.564493,200,28601
143,64.785598,200,28801
144,64.048578,200,29001
145,64.513186,200,29201
146,63.2735,200,29401
147,64.998205,200,29601
148,65.621913,200,29801
149,65.953043,200,30001
150,61.160414,200,30201
151,63.587889,200,30401
152,62.907737,200,30601
153,59.732983,200,30801
154,66.581686,200,31001
155,63.86671,200,31201
156,65.516596,200,31401
157,60.382011,200,31601
158,65.565206,200,31801
159,63.547271,200,32001
160,66.14318,200,32201
161,63.577247,200,32401
162,63.013077,200,32601
163,64.575963,200,32801
164,64.646103,200,33001
165,63.070786,200,33201
166,65.263677,200,33401
167,60.447039,200,33601
168,54.89678,200,33801
169,58.841466,200,34001
170,66.156644,200,34201
171,65.629113,200,34401
172,63.340913,200,34601
173,65.609989,200,34801
174,63.28288,200,35001
175,65.262362,200,35201
176,61.80288,200,35401
177,66.401975,200,35601
178,64.350133,200,35801
179,64.827242,200,36001
180,64.661125,200,36201
181,66.039462,200,36401
182,65.101865,200,36601
183,66.13023,200,36801
184,65.563564,200,37001
185,63.909679,200,37201
186,66.987458,200,37401
187,66.618213,200,37601
188,65.155012,200,37801
189,65.253912,200,38001
190,63.278191,200,38201
191,65.93821,200,38401
192,64.470254,200,38601
193,57.770743,200,38801
194,65.598719,200,39001
195,62.822151,200,39201
196,64.089414,200,39401
197,59.953152,200,39601
198,65.843111,200,39801
199,65.167736,200,40001
200,65.822986,200,40201
201,65.707741,200,40401
202,61.873894,200,40601
203,63.251469,200,40801
204,63.48713,200,41001
205,65.878065,200,41201
206,65.944126,200,41401
207,61.441325,200,41601
208,59.174766,200,41801
209,66.487603,200,42001
210,66.271507,200,42201
211,61.592743,200,42401
212,66.878419,200,42601
213,66.450307,200,42801
214,64.987057,200,43001
215,66.245248,200,43201
216,65.218876,200,43401
217,66.399802,200,43601
218,65.614234,200,43801
219,63.711222,200,44001
220,64.806903,200,44201
221,65.339265,200,44401
222,66.309501,200,44601
223,62.484773,200,44801
224,63.93477,200,45001
225,66.618975,200,45201
226,65.569133,200,45401
227,65.426458,200,45601
228,60.228998,200,45801
229,65.370156,200,46001
230,66.407263,200,46201
231,66.546299,200,46401
232,59.394921,200,46601
233,67.550392,200,46801
234,65.62569,200,47001
235,66.742667,200,47201
236,61.623435,200,47401
237,65.128905,200,47601
238,67.404183,200,47801
239,66.103611,200,48001
240,65.251582,200,48201
241,66.223246,200,48401
242,68.068625,200,48601
243,67.299915,200,48801
244,65.556563,200,49001
245,66.355769,200,49201
246,66.025018,200,49401
247,67.102044,200,49601
248,65.216455,200,49801
249,66.251471,200,50001
250,66.87658,200,50201
251,66.102984,200,50401
252,67.380179,200,50601
253,67.135543,200,50801
254,65.341003,200,51001
255,65.775838,200,51201
256,63.712095,200,51401
257,67.065655,200,51601
258,66.47868,200,51801
259,65.433249,200,52001
260,64.736082,200,52201
261,66.347008,200,52401
262,65.189374,200,52601
263,66.860817,200,52801
264,67.662101,200,53001
265,65.454283,200,53201
266,67.462271,200,53401
267,66.864632,200,53601
268,68.052423,200,53801
269,66.792989,200,54001
270,67.012285,200,54201
271,67.148906,200,54401
272,67.077409,200,54601
273,67.130721,200,54801
274,67.525718,200,55001
275,66.425871,200,55201
276,67.019948,200,55401
277,67.538673,200,55601
278,67.748493,200,55801
279,67.52786,200,56001
280,66.583611,200,56201
281,66.74656,200,56401
282,65.908967,200,56601
283,66.080136,200,56801
284,66.360005,200,57001
285,68.281669,200,57201
