Episode,Reward,Length,TotalSteps
0,0.016298,1,2
1,0.017691,3,5
2,-0.699633,7,12
3,0.053653,4,16
4,0.018911,2,18
5,-0.768351,4,22
6,0.103422,9,31
7,-0.356488,3,34
8,0.031764,4,38
9,-0.771025,5,43
10,0.003095,2,45
11,-0.75715,4,49
12,-0.760322,3,52
13,-0.75601,6,58
14,-1.114296,15,73
15,-1.103912,8,81
16,-1.167271,5,86
17,-2.278084,13,99
18,-1.950235,14,113
19,-1.467858,13,126
20,-1.226899,18,144
21,-1.544554,11,155
22,-1.504153,10,165
23,-0.753516,8,173
24,-0.704157,9,182
25,-1.248514,5,187
26,-4.150082,29,216
27,-1.035879,14,230
28,-1.025478,13,243
29,-1.071302,8,251
30,-1.05456,10,261
31,-1.629431,10,271
32,-0.772491,3,274
33,-0.322754,6,280
34,-0.746377,4,284
35,-0.359717,3,287
36,-1.179432,4,291
37,-1.877048,11,302
38,-0.028292,2,304
39,-0.335094,9,313
40,-0.792187,8,321
41,-1.554294,6,327
42,-0.411719,5,332
43,-1.621946,6,338
44,-1.12599,11,349
45,-0.832784,9,358
46,-1.117246,10,368
47,-0.345687,5,373
48,-0.292752,7,380
49,0.011734,1,381
50,-0.781188,12,393
51,-2.708264,21,414
52,-1.083732,13,427
53,-0.694656,13,440
54,0.090964,6,446
55,-0.433967,3,449
56,-1.491601,10,459
57,-3.014207,23,482
58,-0.006648,1,483
59,-0.005944,2,485
60,-1.493969,9,494
61,0.014446,5,499
62,-1.177904,3,502
63,-1.078296,8,510
64,-0.74362,4,514
65,-3.456032,23,537
66,-1.178297,4,541
67,-0.73978,6,547
68,-4.785548,30,577
69,0.036638,4,581
70,-0.714749,8,589
71,0.031156,3,592
72,-1.154448,4,596
73,-0.938036,20,616
74,-0.383998,1,617
75,-1.116112,13,630
76,-1.909453,12,642
77,-0.78172,9,651
78,-1.496893,7,658
79,-0.732958,9,667
80,-0.739975,8,675
81,0.065667,5,680
82,-0.369897,3,683
83,-1.141112,6,689
84,-0.002381,2,691
85,-2.287635,15,706
86,-0.7476,6,712
87,0.008863,3,715
88,-0.369492,5,720
89,-1.161404,4,724
90,-1.902126,13,737
91,-0.38031,1,738
92,-0.317011,9,747
93,-0.723516,6,753
94,-0.357791,4,757
95,-2.638028,16,773
96,-0.737621,5,778
97,-0.337038,4,782
98,0.01991,1,783
99,-0.360096,3,786
100,-0.342283,7,793
101,0.013869,1,794
102,-0.42399,5,799
103,-1.205713,7,806
104,-0.811745,4,810
105,-0.727459,9,819
106,-0.731126,7,826
107,-0.342409,5,831
108,-0.357155,6,837
109,-0.754104,10,847
110,-0.358907,3,850
111,-0.411077,2,852
112,-0.438027,5,857
113,-2.291633,13,870
114,0.012195,4,874
115,-0.338681,4,878
116,-0.039955,2,880
117,-0.366564,6,886
118,-0.343683,4,890
119,-1.21634,6,896
120,-1.125312,8,904
121,-2.016301,13,917
122,0.085106,6,923
123,-0.011725,2,925
124,-0.356242,4,929
125,0.005165,1,930
126,-0.374534,2,932
127,0.051791,4,936
128,-1.5006,13,949
129,-1.779854,19,968
130,-0.759471,6,974
131,-1.124926,6,980
132,-1.893663,8,988
133,-1.123864,14,1002
134,-1.492278,10,1012
135,-1.049187,10,1022
136,-0.836734,5,1027
137,-0.384772,1,1028
138,-0.420067,4,1032
139,-0.654885,13,1045
140,-0.696672,10,1055
141,-0.80024,4,1059
142,-1.836664,13,1072
143,-2.711104,19,1091
144,-1.943306,5,1096
145,-2.358645,10,1106
146,-0.668505,11,1117
147,-0.744052,4,1121
148,-2.35118,16,1137
149,-1.149729,10,1147
150,-0.334609,6,1153
151,-0.416541,3,1156
152,-0.765524,7,1163
153,-0.324524,5,1168
154,-0.817652,3,1171
155,0.002929,5,1176
156,-1.21494,5,1181
157,-1.8827,14,1195
158,-1.104976,10,1205
159,-1.890753,8,1213
160,-0.395263,4,1217
161,-2.30865,11,1228
162,0.029665,2,1230
163,-1.199349,6,1236
164,-0.719965,8,1244
165,-0.708931,9,1253
166,0.030927,3,1256
167,-0.369553,2,1258
168,-1.492698,8,1266
169,-0.350849,6,1272
170,-1.579143,9,1281
171,-0.415626,3,1284
172,-0.256556,13,1297
173,-0.762028,5,1302
174,0.113727,8,1310
175,-0.384159,1,1311
176,-0.806837,8,1319
177,-0.35684,5,1324
178,-2.29937,11,1335
179,-0.079456,2,1337
180,-1.91747,8,1345
181,-0.354139,4,1349
182,-1.164321,10,1359
183,-1.449138,14,1373
184,-0.761856,5,1378
185,-1.083338,19,1397
186,-2.13913,24,1421
187,-2.625446,15,1436
188,-1.202932,4,1440
189,-0.384172,3,1443
190,-3.027383,16,1459
191,0.026604,3,1462
192,-1.112907,13,1475
193,0.037335,3,1478
194,0.010127,1,1479
195,-0.007184,3,1482
196,-1.963652,20,1502
197,-1.074359,10,1512
198,-1.127691,8,1520
199,-0.687361,11,1531
200,-0.326442,8,1539
201,-0.306492,6,1545
202,-0.716935,6,1551
203,-0.758564,5,1556
204,-1.067323,17,1573
205,-0.693574,8,1581
206,-0.343372,5,1586
207,-1.097635,11,1597
208,-0.729771,11,1608
209,0.018204,3,1611
210,-1.185744,13,1624
211,-0.344721,5,1629
212,-0.397904,5,1634
213,0.027632,3,1637
214,-1.195945,5,1642
215,-0.372506,3,1645
216,-0.401299,2,1647
217,-0.338251,4,1651
218,-0.701662,9,1660
219,0.018248,1,1661
220,-0.33626,4,1665
221,-1.222026,9,1674
222,-0.712376,10,1684
223,-1.103871,9,1693
224,0.041013,3,1696
225,-2.026092,5,1701
226,-1.12834,12,1713
227,-0.779289,3,1716
228,-0.369829,3,1719
229,-1.541644,6,1725
230,-1.08562,14,1739
231,-1.078909,15,1754
232,-1.215943,5,1759
233,-1.510198,12,1771
234,-0.326034,7,1778
235,-0.750396,5,1783
236,-0.032439,4,1787
237,-1.185223,10,1797
238,-1.121031,10,1807
239,-1.112062,11,1818
240,-1.132969,7,1825
241,-0.67994,10,1835
242,-1.070735,9,1844
243,-1.472505,9,1853
244,-2.365012,8,1861
245,-0.402755,4,1865
246,-0.756941,4,1869
247,-0.654241,12,1881
248,-0.47566,3,1884
249,-0.392311,3,1887
250,-0.305839,7,1894
251,-0.382566,3,1897
252,-2.319287,18,1915
253,-0.237924,12,1927
254,-1.143258,7,1934
255,-0.305246,8,1942
256,-1.00252,17,1959
257,-0.750133,4,1963
258,-0.383406,1,1964
259,-1.916085,11,1975
260,-0.374828,3,1978
261,-1.500588,15,1993
262,-0.048167,5,1998
263,-0.719619,6,2004
264,-2.295745,17,2021
265,-1.138312,6,2027
266,-1.463076,11,2038
267,-1.867108,8,2046
268,0.017496,1,2047
269,-1.451997,12,2059
270,-1.188737,13,2072
271,-0.657206,16,2088
272,-0.363827,3,2091
273,-1.142355,9,2100
274,-0.390533,4,2104
275,-0.705436,8,2112
276,-0.698319,8,2120
277,-0.358033,5,2125
278,-0.84067,7,2132
279,-0.401651,7,2139
280,-0.48308,3,2142
281,-0.730602,6,2148
282,-0.481475,7,2155
283,0.009802,2,2157
284,-0.404451,4,2161
285,-0.760438,4,2165
286,-1.106019,13,2178
287,-0.782692,5,2183
288,-0.337991,5,2188
289,-0.389973,3,2191
290,0.047572,3,2194
291,-0.708473,6,2200
292,0.007418,1,2201
293,-1.27062,8,2209
294,0.065819,4,2213
295,-1.03858,15,2228
296,-1.575995,4,2232
297,-0.772294,5,2237
298,-2.676588,9,2246
299,-0.41684,6,2252
300,-1.108432,8,2260
301,0.080137,5,2265
302,-0.363361,5,2270
303,0.055619,5,2275
304,-0.342395,4,2279
305,-0.408592,6,2285
306,-2.331303,9,2294
307,-0.409481,3,2297
308,-1.015949,22,2319
309,-0.310848,7,2326
310,-0.363784,3,2329
311,0.06807,11,2340
312,-0.376242,5,2345
313,0.032093,3,2348
314,-1.123471,12,2360
315,-0.432703,3,2363
316,-0.358964,3,2366
317,-0.690107,14,2380
318,0.009506,1,2381
319,-0.317026,8,2389
320,-0.354672,10,2399
321,-0.366141,3,2402
322,-1.093106,13,2415
323,-0.642917,12,2427
324,-0.719452,7,2434
325,-0.754476,5,2439
326,-0.775576,4,2443
327,0.008293,4,2447
328,-0.696083,12,2459
329,0.078906,6,2465
330,-0.767262,3,2468
331,-0.671717,10,2478
332,-1.064376,9,2487
333,-0.388947,4,2491
334,-0.777631,14,2505
335,-0.835393,5,2510
336,-0.386738,4,2514
337,-0.794592,4,2518
338,-1.610551,8,2526
339,-0.022449,2,2528
340,-0.713871,8,2536
341,-1.116196,8,2544
342,-0.408445,1,2545
343,-0.360304,4,2549
344,0.009427,3,2552
345,-1.160765,9,2561
346,-0.759292,5,2566
347,-0.013982,4,2570
348,-0.004844,5,2575
349,0.017174,1,2576
350,0.003513,2,2578
351,0.00796,3,2581
352,-0.7167,11,2592
353,0.033376,3,2595
354,-0.292607,10,2605
355,-0.782837,4,2609
356,0.049139,3,2612
357,-0.410734,3,2615
358,0.041122,4,2619
359,-0.348431,3,2622
360,-0.340356,4,2626
361,0.001118,2,2628
362,-0.717946,6,2634
363,-0.435206,4,2638
364,0.039865,4,2642
365,0.065934,5,2647
366,-0.322318,8,2655
367,-0.749375,5,2660
368,-0.741994,5,2665
369,-0.36726,3,2668
370,0.01564,3,2671
371,-0.359418,8,2679
372,-1.572507,7,2686
373,-0.373803,4,2690
374,0.014417,5,2695
375,-1.136149,11,2706
376,-1.198753,9,2715
377,-0.689073,10,2725
378,-0.354223,8,2733
379,-1.569196,11,2744
380,0.012795,6,2750
381,0.00683,2,2752
382,0.150991,11,2763
383,-0.802209,3,2766
384,-0.358861,5,2771
385,-1.525375,8,2779
386,-1.079389,11,2790
387,-0.334061,9,2799
388,-0.421757,1,2800
389,0.034461,4,2804
390,-2.164699,28,2832
391,-2.709086,15,2847
392,0.028048,4,2851
393,-1.536882,6,2857
394,-0.831981,5,2862
395,-0.623982,25,2887
396,-0.7279,5,2892
397,-1.094833,8,2900
398,0.027765,3,2903
399,0.079501,6,2909
400,-0.423813,4,2913
401,-1.120726,6,2919
402,-1.138154,9,2928
403,-0.301461,7,2935
404,0.042037,4,2939
405,-0.390081,2,2941
406,-1.458994,15,2956
407,-0.388632,6,2962
408,0.063596,9,2971
409,-1.843106,20,2991
410,-0.746705,4,2995
411,-0.770844,4,2999
412,-2.269761,12,3011
413,-0.384933,5,3016
414,-0.720407,7,3023
415,-0.678968,9,3032
416,-0.662254,14,3046
417,-1.876055,13,3059
418,-0.703558,12,3071
419,0.039584,6,3077
420,-0.360429,6,3083
421,-0.325063,6,3089
422,-0.340581,8,3097
423,-1.421372,21,3118
424,-0.160228,17,3135
425,-0.028456,5,3140
426,-1.44566,12,3152
427,-0.735034,5,3157
428,-0.01267,2,3159
429,-0.351446,4,3163
430,-0.813285,5,3168
431,-0.639325,12,3180
432,-1.858133,12,3192
433,0.039385,6,3198
434,-3.039317,24,3222
435,-0.797631,10,3232
436,-1.48927,11,3243
437,-0.319738,9,3252
438,-0.346967,6,3258
439,-0.345059,4,3262
440,-0.389638,1,3263
441,0.018492,3,3266
442,-0.465461,9,3275
443,-0.702794,7,3282
444,-0.651941,16,3298
445,-1.020373,13,3311
446,-1.455862,15,3326
447,-2.56742,17,3343
448,-0.315204,7,3350
449,-0.39665,4,3354
450,-0.820116,5,3359
451,-1.585887,13,3372
452,-0.724363,10,3382
453,-0.74973,8,3390
454,0.009469,5,3395
455,0.001551,2,3397
456,-1.529957,17,3414
457,0.015528,1,3415
458,-1.072056,9,3424
459,-1.845534,13,3437
460,-1.21634,6,3443
461,-1.097627,10,3453
462,-0.365549,3,3456
463,-1.236027,3,3459
464,-0.388353,10,3469
465,-0.41604,6,3475
466,-0.335714,5,3480
467,-0.391903,1,3481
468,-1.534982,10,3491
469,0.033675,3,3494
470,-0.39416,8,3502
471,0.020625,5,3507
472,-0.366153,6,3513
473,-0.290159,12,3525
474,-1.544374,5,3530
475,0.048748,6,3536
476,-1.901892,23,3559
477,-0.750138,7,3566
478,-0.797941,3,3569
479,-0.26372,14,3583
480,-0.356834,5,3588
481,-0.443003,3,3591
482,0.061838,4,3595
483,-1.112113,6,3601
484,-0.36672,4,3605
485,-0.35379,4,3609
486,-0.364095,3,3612
487,0.03479,4,3616
488,-0.435635,4,3620
489,-0.797476,10,3630
490,-0.681873,13,3643
491,-0.417431,3,3646
492,0.029036,4,3650
493,-0.699713,7,3657
494,0.033466,3,3660
495,-1.029214,16,3676
496,-0.789585,4,3680
497,0.032541,3,3683
498,0.034089,4,3687
499,-0.688859,8,3695
500,-0.725008,8,3703
501,-1.363336,23,3726
502,-2.293268,20,3746
503,-0.367139,8,3754
504,-1.175756,5,3759
505,-0.777176,4,3763
506,0.049436,4,3767
507,-1.103219,7,3774
508,-0.441264,2,3776
509,-0.745132,9,3785
510,-1.920502,8,3793
511,-1.493395,10,3803
512,-0.325047,5,3808
513,-0.295001,9,3817
514,-0.01721,4,3821
515,-0.720407,6,3827
516,0.076223,6,3833
517,0.144594,13,3846
518,-1.194414,5,3851
519,-0.412018,4,3855
520,-0.366715,2,3857
521,-0.372575,7,3864
522,-1.481417,9,3873
523,-4.132486,26,3899
524,-0.03111,2,3901
525,-1.135037,7,3908
526,-0.744882,8,3916
527,-0.295609,7,3923
528,-2.567456,24,3947
529,0.037256,4,3951
530,-0.324509,5,3956
531,-1.493684,11,3967
532,-0.686691,12,3979
533,0.028307,2,3981
534,-0.368918,2,3983
535,-2.173908,16,3999
536,-0.716096,6,4005
537,0.044265,3,4008
538,-1.555268,9,4017
539,-0.352827,4,4021
540,-0.75297,5,4026
541,-0.371369,3,4029
542,0.08989,7,4036
543,-0.323796,5,4041
544,0.002546,2,4043
545,-1.122995,6,4049
546,-0.758312,4,4053
547,-0.367256,3,4056
548,-1.415086,20,4076
549,-0.727211,8,4084
550,-0.757572,3,4087
551,-0.792219,13,4100
552,0.009669,2,4102
553,-0.329006,11,4113
554,0.060424,4,4117
555,0.002406,4,4121
556,0.035176,4,4125
557,0.019962,1,4126
558,-0.326367,5,4131
559,-1.571913,9,4140
560,-0.341231,6,4146
561,0.036622,2,4148
562,-0.313585,7,4155
563,-1.423951,14,4169
564,-1.049512,12,4181
565,-0.365231,4,4185
566,0.016936,1,4186
567,0.055843,5,4191
568,-0.361099,6,4197
569,-0.290295,16,4213
570,-0.360925,8,4221
571,-1.123523,6,4227
572,0.057673,4,4231
573,-1.529407,12,4243
574,-0.366453,5,4248
575,-1.547811,7,4255
576,0.043064,3,4258
577,-0.387165,5,4263
578,0.031604,3,4266
579,-0.81815,9,4275
580,-1.155441,7,4282
581,-0.739738,6,4288
582,-0.059689,2,4290
583,0.049178,3,4293
584,0.041793,3,4296
585,-0.395823,3,4299
586,-1.127628,7,4306
587,0.089069,9,4315
588,0.024163,5,4320
589,0.048937,6,4326
590,-1.549675,13,4339
591,-0.29981,8,4347
592,-0.41909,4,4351
593,-1.388019,19,4370
594,-0.363362,3,4373
595,-1.164931,7,4380
596,-0.697179,8,4388
597,-0.417576,3,4391
598,0.003148,2,4393
599,-0.386238,1,4394
600,-0.761929,12,4406
601,0.031324,4,4410
602,-1.210289,6,4416
603,-0.338949,4,4420
604,-0.79534,5,4425
605,0.072493,5,4430
606,-0.381978,6,4436
607,0.07721,8,4444
608,-0.716997,10,4454
609,-0.706076,6,4460
610,-0.350566,3,4463
611,0.040829,4,4467
612,-0.413851,4,4471
613,-1.176829,7,4478
614,0.111062,11,4489
615,-0.374146,2,4491
616,-0.337972,10,4501
617,0.030113,5,4506
618,-0.687774,8,4514
